review_id,place_id,user_id,rating_individual,review_text,time
1,0,Jhordy Rafael Vasquez García,1,"The pool is a real pain, the lifeguards are lazier than a sloth, and they're really annoying ☺️ and they break everyone's dick, and the pool is really boring ☺️",7 months ago
2,0,Rodil Gonzales,1,"Muy rústico y caro para el servicio que dan, muy sucio la piscina.",6 months ago
3,0,e.roberto villegas nieto,4,"Comfortable and cozy, there are places where you can eat typical dishes, next to a river... a relaxing place",7 months ago
4,0,Vanesa Lopez,4,"Spacious atmosphere, good pools
There were too many flies in one of the restaurants
You couldn't even eat",8 months ago
5,0,Hugo Cesar Macedo Huerta,5,"A good place to spend time with family, pleasant atmosphere",8 months ago
6,1,Pablo Prugue,4,Relax,7 years ago
7,1,Alejandro Martinez,5,"Nice, it is not very crowded, peaceful, with many trees and space to walk, refreshing air flows...it also has a cement soccer-basketball field...",2 years ago
8,1,Giancarlo,3,"Quite spacious, it was clean but a little neglected, at least in terms of vegetation, other than that, it is a fairly large park, it has games for children, exercise machines and spaces for sports.",2 years ago
9,1,joy8690,4,"The neighborhood where the park is located is also quiet and beautiful. The park is well-maintained and comfortable, making it a great place to take a walk and relax.",2 years ago
10,1,Ignacio Sanchez,5,"A place of rest, leisure, sport and fresh air, so necessary in Lima.",6 years ago
11,2,John Cobb,5,Good place to walk with your family. Ample space for your kids to run around. My toddler had a blast. I would recommend close toed shoes or shoes with good treads because it can get slippery and you may fall if you aren't careful or if you have mobility issues. It is mostly stroller or wheelchair accessible.,a year ago
12,2,Carla Ruiz Berger,5,Nice place to come for a walk!,5 months ago
13,2,Rayza Cueto,4,"A very beautiful place to visit. You can walk around the lagoon with the ducklings. The walk seemed a bit short, but the view was very pleasant.",3 months ago
14,2,Brhyan Capcha,5,"Friendship Park is a great place to have fun alone or with others. It has many attractions, making it highly recommended for everyone.",2 years ago
15,2,Dixter Salas Amaringo,5,Nice place to be with family,a year ago
16,3,Giancarlo,4,,2 years ago
