event_id,title,category,location,date,event_status,days_until_event,temporal_weight,ticket_availability,organizer
71186,2do Festival Cajacho en el Huaralino,concerts,"Peru, San Isidro, Lima, Huaralino, Perú, Miraflores, Los Olivos",2025-10-04,Pasado,-22.0,0.8,available,"tion"",""name"":""Joinnus"",""url"":""https://www.joinnus.com""}},""performer"":{""@type"":""PerformingGroup"",""name"":null},""organizer"":{""@type"":""Organization"",""name"":""HUARALINO INTERNACIONAL""}}"
71262,NOCHE ANDINA CON KIKO REVATTA,concerts,"Peru, Miraflores, Lima, Perú, San Isidro",2025-09-20,Pasado,-36.0,0.8,available,"tion"",""name"":""Joinnus"",""url"":""https://www.joinnus.com""}},""performer"":{""@type"":""PerformingGroup"",""name"":null},""organizer"":{""@type"":""Organization"",""name"":""PRODUCIMOS EVENTOS E.I.R.L""}}"
70888,MÁS QUE TEATRO - 5TA TEMPORADA,theater,"Peru, Miraflores, Lima, Perú, San Isidro, Barranco",2025-08-20,Pasado,-67.0,0.8,available,"tion"",""name"":""Joinnus"",""url"":""https://www.joinnus.com""}},""performer"":{""@type"":""PerformingGroup"",""name"":null},""organizer"":{""@type"":""Organization"",""name"":""MANUEL ALEJANDRO ALEGRIA CACEDA""}}"
69801,Magia por Tres,entertainment,"Peru, Miraflores, Lima, Perú, San Isidro",2025-10-07,Pasado,-19.0,0.8,available,"tion"",""name"":""Joinnus"",""url"":""https://www.joinnus.com""}},""performer"":{""@type"":""PerformingGroup"",""name"":null},""organizer"":{""@type"":""Organization"",""name"":""ERNESTO NICOLAS CARPIO-TIRADO LINDLEY""}}"
70730,BESTIA BEBÉ,concerts,"Peru, Miraflores, Lima, Perú, San Isidro",2025-09-27,Pasado,-29.0,0.8,available,"tion"",""name"":""Joinnus"",""url"":""https://www.joinnus.com""}},""performer"":{""@type"":""PerformingGroup"",""name"":null},""organizer"":{""@type"":""Organization"",""name"":""TRES ESTRELLAS BOOKING""}}"
71338,PISCINA LIBRE SETIEMBRE 2025 (1HR) – VILLA MARÍA DEL TRIUNFO,sports,"Peru, Miraflores, Lima, Perú, San Isidro",2025-09-01,Pasado,-55.0,0.8,available,"tion"",""name"":""Joinnus"",""url"":""https://www.joinnus.com""}},""performer"":{""@type"":""PerformingGroup"",""name"":null},""organizer"":{""@type"":""Organization"",""name"":""FEDERACION DEPORTIVA PERUANA DE NATACION""}}"
70415,Limpiar la sangre (Perú),theater,"Peru, Miraflores, Lima, Perú, San Isidro",2025-09-27,Pasado,-29.0,0.8,available,"tion"",""name"":""Joinnus"",""url"":""https://www.joinnus.com""}},""performer"":{""@type"":""PerformingGroup"",""name"":null},""organizer"":{""@type"":""Organization"",""name"":null}}"
71044,SHOW DE MAGIA - CALETONAZO,stand-up,"Peru, Miraflores, Lima, Perú, San Isidro, Barranco",2025-09-22,Pasado,-34.0,0.8,available,"tion"",""name"":""Joinnus"",""url"":""https://www.joinnus.com""}},""performer"":{""@type"":""PerformingGroup"",""name"":null},""organizer"":{""@type"":""Organization"",""name"":null}}"
71047,SHOW DE MAGIA - CALETONAZO,stand-up,"Peru, Miraflores, Lima, Perú, San Isidro, Barranco",2025-09-23,Pasado,-33.0,0.8,available,"tion"",""name"":""Joinnus"",""url"":""https://www.joinnus.com""}},""performer"":{""@type"":""PerformingGroup"",""name"":null},""organizer"":{""@type"":""Organization"",""name"":null}}"
71139,Laura Pérez La Chinita,concerts,"Peru, Miraflores, Lima, Perú, San Isidro, Barranco",2025-10-08,Pasado,-18.0,0.8,available,"tion"",""name"":""Joinnus"",""url"":""https://www.joinnus.com""}},""performer"":{""@type"":""PerformingGroup"",""name"":null},""organizer"":{""@type"":""Organization"",""name"":null}}"
70856,GUNS 'N ROSES & AEROSMITH SINFÓNICO,concerts,"Peru, Miraflores, Lima, Perú, San Isidro",2025-10-04,Pasado,-22.0,0.8,available,"tion"",""name"":""Joinnus"",""url"":""https://www.joinnus.com""}},""performer"":{""@type"":""PerformingGroup"",""name"":null},""organizer"":{""@type"":""Organization"",""name"":""Walrus Producciones""}}"
70923,LOS OUTSAIDERS EN EL CENTRO DE LIMA,concerts,"Peru, Miraflores, Lima, Perú, San Isidro",2025-10-03,Pasado,-23.0,0.8,available,"tion"",""name"":""Joinnus"",""url"":""https://www.joinnus.com""}},""performer"":{""@type"":""PerformingGroup"",""name"":null},""organizer"":{""@type"":""Organization"",""name"":null}}"
71204,III CONCURSO DE BANDAS ESCOLARES 2025,concerts,"Peru, Miraflores, Lima, Perú, San Isidro",2025-10-17,Pasado,-9.0,0.8,available,"tion"",""name"":""Joinnus"",""url"":""https://www.joinnus.com""}},""performer"":{""@type"":""PerformingGroup"",""name"":null},""organizer"":{""@type"":""Organization"",""name"":""CENTRO EDUCATIVO PARTICULAR SAN AGUSTIN""}}"
71335,OBRA CAPERUCITA ROJA,theater,"Peru, Miraflores, Lima, Perú, San Isidro",2025-09-27,Pasado,-29.0,0.8,available,"tion"",""name"":""Joinnus"",""url"":""https://www.joinnus.com""}},""performer"":{""@type"":""PerformingGroup"",""name"":null},""organizer"":{""@type"":""Organization"",""name"":""Vicky Paz""}}"
70311,Nito Mestre a 50 años del Adiós - Concierto Sinfónico ¡Adquiere tus entradas ya en Joinnus - Nito Mestre a 50 años del Adiós - Concierto Sinfónico ¡Adquiere tus entradas ya en Joinnus,nito-mestre,"Lima, Perú",,Futuro,,1.0,unknown,
