place_id,name,clean_text
0,Piscina EL CANDAMO,piscina candamo pool real pain lifeguards lazier sloth theyre really annoying break everyones dick pool really boring rústico caro servicio dan sucio piscina comfortable cozy places eat typical dishes next river relaxing place spacious atmosphere good pools many flies one restaurants couldnt even eat good place spend time family pleasant atmosphere
1,La Laguna Park,laguna park relax nice crowded peaceful many trees space walk refreshing air flowsit also cement soccerbasketball field quite spacious clean little neglected least terms vegetation fairly large park games children exercise machines spaces sports neighborhood park located also quiet beautiful park wellmaintained comfortable making great place take walk relax place rest leisure sport fresh air necessary lima
2,Laguna - Parque de la Amistad,laguna parque amistad good place walk family ample space kids run around toddler blast would recommend close toed shoes shoes good treads get slippery may fall arent careful mobility issues mostly stroller wheelchair accessible nice place come walk beautiful place visit walk around lagoon ducklings walk seemed bit short view pleasant friendship park great place fun alone others many attractions making highly recommended everyone nice place family
3,Laguna del Parque El Prado,laguna parque prado nan
4,Charo Laguna Pilates,charo laguna pilates charito best shes super patient passionate classes guides clearly routine understand every instruction even youve never done pilates recommended good recommended excellent training forgot muscle pain limited lot excellent instructor well prepared professional recommended classes excellent
6,Acuario Laguna Azul,acuario laguna azul excellent service wellcared pets perfect condition exelente atención good attention beautiful fish turtles good service nice place
7,Pileta del Olivar,pileta olivar tranquil place relax see fish turtles lots police presence helped make park feel safe maybe biggest park san isidro district open everyone benches fountains nice place relax ease mind one best place visit year one beautiful parks lima also olive trees find oldest one planted saint martín porres dates cute pond lots koi roiling around lovely turtles water bright green meaning much nutrient load animals excrement insufficient uptake plants filter abundance aeration also helpful keeping water fresher enjoyed flower planting middle pond islands
8,Laguna Central del Olivar,laguna central olivar nice place central lagoon large confused initial pond somewhat commemorative grotto dedicated virgin mary carp koi turtles water quite green bit murky opinion see constantly maintained area super beautiful right heart district perfect walking around relaxing moment sitting many benches along way definitely recommend entire tour relaxing familyfriendly space pleasant time connect childrens adult theater next door close camino real ovalo gutiérrez etc super quiet nice peaceful place middle city causes return time time excellent forests relax fun friends
9,Laguna Beach,laguna beach nan nan
10,Laguna de Novios,laguna novios well cared health standards respected nan nan
11,Laguna Azul,laguna azul god clean large swimming pool provide swimming classes good place less excellent place enjoy entertain loved ones recommend
12,ASINCOOP,asincoop park district san juan miraflores zone fenced cannot enter redeeming feature contributes ecosystem due greenery surrounding area bit dangerous due crime recommend coming park night alone urban area currently many new restaurants speak quiet day advisable travel pm due poor security influx people dubious origin photo section shows photograph leafy area sort artificial lagoon park doesnt facility quiet park hang area could improved theres lack public safety theres prostitution area
13,Bosque Castilla,bosque castilla big city hall attention take care place maybe need improvements liberal nice take place trees like reason great park bisected busy road still plenty bit jog slackline stage star wars enactmentsallof occasional braws like one say today eight way group fight low lifes polices credit two minutes breaking fight knives guns anything punk wannabees want safety youll spend little money live san isidro good place see many people crowded weekends great park young families playing around apparatus lots shade great place enjoy nature
14,Laguna,laguna site well preserved security fish lagoon beautiful attraction pleasantly surprised find park relax eyes nan
15,Mariscal Castillas Park Lake,mariscal castillas park lake pleasant place rest stays cool hottest hours want feed fish dont give bread causes die want feed bring fish food following park attendants instructions quiet place spend pleasant time little jars longer nan nan
16,Laguna Recreativa PATPAL,laguna recreativa patpal nice looking one thing needs maintenance bots cleaning vests customer service good cost soles per motor pay year age overrated boat ride service poor lines long finally turn youre stuck boat ride lasts less minutes machu picchu model neglected poor condition unpleasant smell cost soles worth also removed pedal boat ride lagoon pretty pedal boats excellent area great atmosphere quiet peaceful recommended go weekday stop early enjoy activity without many people prices affordable wonderful activity artificial lagoon legends park pay extra access person boat give life jacket end theyve built small tunnel access boat theres large model machu picchu beautiful almost tourist place go see although nice time real life
17,Laguna Recreativa,laguna recreativa recreational lagoon tantaycocha artificial lagoon located park legends place ideal boat rides driving pedal boats center two islands also tunnel appreciate image one wonders modern world machu picchu highly recommended like take walks lagoons also dolphin sculptures center soles per person take boat ride soles drive pedal boat two people cute lovely place go family although quite windy bring tshirt hat sunscreen plenty water beautiful scenery like nice family place
18,Laguna de la zona Selva,laguna zona selva nan
19,Módulo de venta de tickets para laguna,módulo venta tickets laguna nan nan nan
21,Lagunas de Oxidación,lagunas oxidación nan nan
22,Laguna Del Parque Zonal Sinchi Roca,laguna parque zonal sinchi roca quiet place share family many activities although signs makes difficult find places employees friendly nice place pretty nan nan
23,Pet Shop Run Run - Pro,pet shop run run pro everything pets carriers cages beds clothing food food birds guinea pies rabbits much products available affordable prices service excellent good prices variety products nan
24,Mirador La Laguna de LA MOLINA,mirador laguna molina really nice place relax lots animals like fish birds pretty little laike surrounding park area park nice vendors snacks lake self full fish birds shapes sizes nice spot grab shade sun whatever else may wanting clean safe place molina hard come one stands particular highly recommend cool place relaxing walking annimals taking walk honey venders sell bird duck fish food wild animals beautiful full days nice place go walk relax secure
