event_id,title,date,time,category,location,organizer,description,performer_list,image_url,canonical_url,source_url,ticket_availability,source_csv_title,extraction_timestamp,scraping_success
71186,2do Festival Cajacho en el Huaralino,2025-10-04,18:00,concerts,"Peru, San Isidro, Lima, Huaralino, Perú, Miraflores, Los Olivos","tion"",""name"":""Joinnus"",""url"":""https://www.joinnus.com""}},""performer"":{""@type"":""PerformingGroup"",""name"":null},""organizer"":{""@type"":""Organization"",""name"":""HUARALINO INTERNACIONAL""}}","Una tradición que une a los más grandes del Folklore Cajamarquino. Vive la experiencia del festival cajamarquino más grande de la capital en El Huaralino – Los Olivos. Disfruta de un show lleno de música, tradición y alegría con la presentación de: Martín Vera Alegres de Bambamarca Hermanos Sánchez String Karma Sentimiento Chigripano El Ronderito",Martín Vera; Alegres de Bambamarca; Hermanos Sánchez; String Karma; Sentimiento Chigripano; El Ronderito,https://s3-us-west-2.amazonaws.com/joinnus.com/user/5060753/act689e448db667a.jpg,https://www.joinnus.com/events/concerts/lima-2do-festival-cajacho-en-el-huaralino-71186,https://www.joinnus.com/events/concerts/lima-2do-festival-cajacho-en-el-huaralino-71186,available,2do Festival Cajacho en el Huaralino,2025-09-20T01:37:29.866545,True
71262,NOCHE ANDINA CON KIKO REVATTA,2025-09-20,19:00,concerts,"Peru, Miraflores, Lima, Perú, San Isidro","tion"",""name"":""Joinnus"",""url"":""https://www.joinnus.com""}},""performer"":{""@type"":""PerformingGroup"",""name"":null},""organizer"":{""@type"":""Organization"",""name"":""PRODUCIMOS EVENTOS E.I.R.L""}}","Kiko Revatta, reconocido cantante como ""La Voz Señorial de Huamanga"". Interprete de nuestra música andina y ayacuchana, nos muestra que a lo largo de su carrera, ha popularizado diversas canciones y ha lanzado varios álbumes, incluyendo ""Eternamente"", ""Melodías de Amor"", ""Siempre Estás"" y ""Nostalgia Huamanguina"". Entre sus temas más conocidos se encuentran ""Para un viejo corazón"", ""Amor Amor (Mi propuesta)"", ""Destino marinero"", ""Nuestra promesa"", ""Plegaria"" y ""Chaska Lucero"". Su trayectoria artística lo ha consolidado como una figura clave en la preservación y difusión del huayno ayacuchano, un género musical que destaca por su profunda carga emocional y su conexión con las tradiciones andinas. Soraya Nieto es una intérprete de música andina tradicional originaria de Huamanga, Ayacucho. Inició su carrera musical a los seis años y es considerada parte de una nueva generación de artistas de la región que mantienen vivas las expresiones y el folklore de Ayacucho. Soraya Nieto ha lanzado tres producciones musicales y se ha presentado en diferentes eventos y festivales como solista en eventos importantes, como el Día de la Canción Ayacuchana en el auditorio de la Biblioteca Nacional Del Perú. Gran parte de su repertorio es interpretado en quechua. El Show y la presentación de nuestros talentosos y destacados artistas se llevará a cabo el día sábado 20 de septiembre en el restaurante El Mesón Del Inca en su sede de la Av. Petit Thouars No 195 Lima Cercado (cruce con la av. 28 de Julio Lima) las entradas las pueden adquirir a través de Joinnus y nuestro canal de WhatsApp al 949042261. ¡Los Esperamos!!!!!.",,https://s3-us-west-2.amazonaws.com/joinnus.com/user/3642946/act68a4b9e9e7551.jpg,https://www.joinnus.com/events/concerts/lima-noche-andina-con-kiko-revatta-71262,https://www.joinnus.com/events/concerts/lima-noche-andina-con-kiko-revatta-71262,available,NOCHE ANDINA CON KIKO REVATTA,2025-09-20T01:37:33.118667,True
70888,MÁS QUE TEATRO - 5TA TEMPORADA,2025-08-20,19:30,theater,"Peru, Miraflores, Lima, Perú, San Isidro, Barranco","tion"",""name"":""Joinnus"",""url"":""https://www.joinnus.com""}},""performer"":{""@type"":""PerformingGroup"",""name"":null},""organizer"":{""@type"":""Organization"",""name"":""MANUEL ALEJANDRO ALEGRIA CACEDA""}}","Más que teatro llega a su 5ta Temporada. En el escenario del mejor bar de Lima se estrena el 20 de agosto a las 8pm una propuesta teatral distinta, un espectáculo que mezcla un show de improvisación teatral y tres obras de formato corto mientras disfrutas de un trago y un piqueo en Sala Osma. La producción general es de Sorpréndete Producciones, unida en esta quinta temporada a Butaca C Producciones y Evelyn Irivarren.",,https://s3-us-west-2.amazonaws.com/joinnus.com/user/3642946/act688d4f0e2bb1e.jpg,https://www.joinnus.com/events/theater/lima-mas-que-teatro-5ta-temporada-70888,https://www.joinnus.com/events/theater/lima-mas-que-teatro-5ta-temporada-70888,available,MÁS QUE TEATRO - 5TA TEMPORADA,2025-09-20T01:37:36.538851,True
69801,Magia por Tres,2025-10-07,20:30,entertainment,"Peru, Miraflores, Lima, Perú, San Isidro","tion"",""name"":""Joinnus"",""url"":""https://www.joinnus.com""}},""performer"":{""@type"":""PerformingGroup"",""name"":null},""organizer"":{""@type"":""Organization"",""name"":""ERNESTO NICOLAS CARPIO-TIRADO LINDLEY""}}","3 Magos, 3 Amigos, 3 Estilos. Bruno Tarnecci, Jesús Alzamora y Plomo Magic.",,https://s3-us-west-2.amazonaws.com/joinnus.com/user/2/act6846d7dc5ff5c.jpg,https://www.joinnus.com/events/entertainment/lima-magia-por-tres-69801,https://www.joinnus.com/events/entertainment/lima-magia-por-tres-69801,available,Magia por Tres,2025-09-20T01:37:39.610072,True
70730,BESTIA BEBÉ,2025-09-27,20:00,concerts,"Peru, Miraflores, Lima, Perú, San Isidro","tion"",""name"":""Joinnus"",""url"":""https://www.joinnus.com""}},""performer"":{""@type"":""PerformingGroup"",""name"":null},""organizer"":{""@type"":""Organization"",""name"":""TRES ESTRELLAS BOOKING""}}","Bestia Bebé, una de las bandas más queridas y emblemáticas del indie rock argentino, llega por fin a Lima para presentar su nuevo disco en vivo, en un show que promete ser una auténtica celebración de energía guitarrera, melodías coreables y espíritu barrial. Será la oportunidad perfecta para ver a la banda en estado puro. La consigna es clara: cantar, saltar y abrazarse al ritmo de una banda que siempre toca como si fuera la última vez. Invitados especiales (también desde Argentina) Tigre Ulli. Abren la noche Ficticio, Taco Roki y Días Perfectos.",,https://s3-us-west-2.amazonaws.com/joinnus.com/user/3642946/act687faf00deb6d.jpg,https://www.joinnus.com/events/concerts/lima-bestia-bebe-70730,https://www.joinnus.com/events/concerts/lima-bestia-bebe-70730,available,BESTIA BEBÉ,2025-09-20T01:37:42.640518,True
71338,PISCINA LIBRE SETIEMBRE 2025 (1HR) – VILLA MARÍA DEL TRIUNFO,2025-09-01,06:00,sports,"Peru, Miraflores, Lima, Perú, San Isidro","tion"",""name"":""Joinnus"",""url"":""https://www.joinnus.com""}},""performer"":{""@type"":""PerformingGroup"",""name"":null},""organizer"":{""@type"":""Organization"",""name"":""FEDERACION DEPORTIVA PERUANA DE NATACION""}}","Disfruta de una hora de piscina libre en la piscina de Centro Acuático de Villa María del Triunfo. Ideal para relajarte, entrenar o practicar tu estilo favorito. Compra fácil y rápido con Joinnus y Yape. ¡Te esperamos!",,https://s3-us-west-2.amazonaws.com/joinnus.com/user/5060753/act68a8968b64aa7.jpg,https://www.joinnus.com/events/sports/lima-piscina-libre-setiembre-2025-1hr-villa-maria-del-triunfo-71338,https://www.joinnus.com/events/sports/lima-piscina-libre-setiembre-2025-1hr-villa-maria-del-triunfo-71338,available,PISCINA LIBRE SETIEMBRE 2025 (1HR) – VILLA MARÍA DEL TRIUNFO,2025-09-20T01:37:45.580463,True
70415,Limpiar la sangre (Perú),2025-09-27,17:00,theater,"Peru, Miraflores, Lima, Perú, San Isidro","tion"",""name"":""Joinnus"",""url"":""https://www.joinnus.com""}},""performer"":{""@type"":""PerformingGroup"",""name"":null},""organizer"":{""@type"":""Organization"",""name"":null}}","Nishme, una mujer peruana de ascendencia palestina por parte de padre, emprende un viaje a Cisjordania, en los territorios ocupados, con el propósito de recuperar una casa heredada de su abuelo. Lo que inicia como una búsqueda personal de identidad y pertenencia, pronto se transforma en una travesía emocional que desentierra memorias ocultas y heridas familiares profundas —algunas incluso anteriores a su propia existencia. A medida que se adentra en la historia de su linaje, Nishme también se ve confrontada con la compleja y dolorosa realidad del pueblo palestino, desde tiempos ancestrales hasta el presente. La casa, más que un bien material, se revela como un poderoso símbolo de resistencia, memoria y persistencia, encarnando la lucha de todo un pueblo por existir y permanecer. DRAMATURGÍA: Nishme Súmar Albújar y Luisa Pardo DIRECCCIÓN: Nishme Súmar y Steven Buendía Damelines INTÉRPRETES: Nishme Súmar",,https://cdn.joinnus.com/user/999595/52ikPcGXaHw4Drw.webp,https://www.joinnus.com/events/theater/lima-limpiar-la-sangre-peru-70415,https://www.joinnus.com/events/theater/lima-limpiar-la-sangre-peru-70415,available,Limpiar la sangre (Perú),2025-09-20T01:37:48.791687,True
71044,SHOW DE MAGIA - CALETONAZO,2025-09-22,20:00,stand-up,"Peru, Miraflores, Lima, Perú, San Isidro, Barranco","tion"",""name"":""Joinnus"",""url"":""https://www.joinnus.com""}},""performer"":{""@type"":""PerformingGroup"",""name"":null},""organizer"":{""@type"":""Organization"",""name"":null}}","Caletonazo – Festival de Magia Lima, Perú | Teatro de La Salla Quilla – Barranco Prepárate para vivir una experiencia única, donde lo imposible se vuelve realidad. Caletonazo reúne a los magos más importantes del Perú y Latinoamérica, en una celebración mágica llena de ilusiones, asombro y fantasía. En el corazón bohemio de Barranco, el histórico Teatro de La Salla Quilla se transforma en un escenario de ensueño donde cada truco, cada acto y cada sonrisa te recordarán que la magia sí existe. - Tendremos 3 grandes galas mágicas: * Lunes 22 de setiembre * Martes 23 de setiembre * Miércoles 24 de setiembre Tres noches inolvidables para soñar, reír y dejarse llevar por el arte del ilusionismo en su máxima expresión. Caletonazo… donde la magia cobra vida.",,https://s3-us-west-2.amazonaws.com/joinnus.com/user/4418414/act689a281f3e1dc.jpg,https://www.joinnus.com/events/stand-up/lima-show-de-magia-caletonazo-71044,https://www.joinnus.com/events/stand-up/lima-show-de-magia-caletonazo-71044,available,SHOW DE MAGIA - CALETONAZO,2025-09-20T01:37:52.548132,True
71047,SHOW DE MAGIA - CALETONAZO,2025-09-23,20:00,stand-up,"Peru, Miraflores, Lima, Perú, San Isidro, Barranco","tion"",""name"":""Joinnus"",""url"":""https://www.joinnus.com""}},""performer"":{""@type"":""PerformingGroup"",""name"":null},""organizer"":{""@type"":""Organization"",""name"":null}}","Caletonazo – Festival de Magia Lima, Perú | Teatro de La Salla Quilla – Barranco Prepárate para vivir una experiencia única, donde lo imposible se vuelve realidad. Caletonazo reúne a los magos más importantes del Perú y Latinoamérica, en una celebración mágica llena de ilusiones, asombro y fantasía. En el corazón bohemio de Barranco, el histórico Teatro de La Salla Quilla se transforma en un escenario de ensueño donde cada truco, cada acto y cada sonrisa te recordarán que la magia sí existe. Tendremos 3 grandes galas mágicas: - Lunes 22 de setiembre - Martes 23 de setiembre - Miércoles 24 de setiembre Tres noches inolvidables para soñar, reír y dejarse llevar por el arte del ilusionismo en su máxima expresión. Caletonazo… donde la magia cobra vida.",,https://s3-us-west-2.amazonaws.com/joinnus.com/user/4418414/act689a46072a8e8.jpg,https://www.joinnus.com/events/stand-up/lima-show-de-magia-caletonazo-71047,https://www.joinnus.com/events/stand-up/lima-show-de-magia-caletonazo-71047,available,SHOW DE MAGIA - CALETONAZO,2025-09-20T01:37:56.014740,True
71139,Laura Pérez La Chinita,2025-10-08,21:00,concerts,"Peru, Miraflores, Lima, Perú, San Isidro, Barranco","tion"",""name"":""Joinnus"",""url"":""https://www.joinnus.com""}},""performer"":{""@type"":""PerformingGroup"",""name"":null},""organizer"":{""@type"":""Organization"",""name"":null}}","La cantautora Laura Pérez aterriza en Perú con un show íntimo en La Noche de Barranco, presentando su formato acústico después de conquistar escenarios como el Estéreo Picnic 2024 y el Cordillera 2025. Con la calidez y cercanía que la caracterizan, Laura nos invita a sumergirnos en las historias y sonidos de La Chinita, su más reciente álbum, donde conviven el pop y los ritmos latinoamericanos. Será una velada para cantar y sentir, con temas como Apartamento, Tal Cual, Sumercé, Te Quiero Mucho y los aclamados Buenos Días y Azulado. Una noche para dejarse llevar por su voz y energía en uno de los escenarios más icónicos de Lima.",,https://s3-us-west-2.amazonaws.com/joinnus.com/user/3030743/act689cd31c2f365.jpg,https://www.joinnus.com/events/concerts/lima-laura-perez-la-chinita-71139,https://www.joinnus.com/events/concerts/lima-laura-perez-la-chinita-71139,available,Laura Pérez La Chinita,2025-09-20T01:38:02.117463,True
70856,GUNS 'N ROSES & AEROSMITH SINFÓNICO,2025-10-04,20:00,concerts,"Peru, Miraflores, Lima, Perú, San Isidro","tion"",""name"":""Joinnus"",""url"":""https://www.joinnus.com""}},""performer"":{""@type"":""PerformingGroup"",""name"":null},""organizer"":{""@type"":""Organization"",""name"":""Walrus Producciones""}}","""POR PRIMERA VEZ EN LIMA"" GUNS 'N ROSES & AEROSMITH SINFÓNICO Sábado 4 de octubre - 8:pm Yield Bar - Centro de Lima Un espectáculo único que fusiona el Rock con la majestuosidad de una orquesta sinfónica. ARTISTAS EN ESCENA: Alex Rojas (Frágil - Máuser) Javo Moscoso & Banda (La Voz Perú) Una noche épica en en Centro de Lima .",,https://cdn.joinnus.com/user/3535201/t4Lv5U4K1xlsn4g.webp,https://www.joinnus.com/events/festivales/lima-kermesse-agustina-2025-71009,https://www.joinnus.com/events/concerts/lima-guns-n-roses-aerosmith-sinfonico-70856,available,GUNS 'N ROSES & AEROSMITH SINFÓNICO,2025-09-20T01:38:05.567778,True
70923,LOS OUTSAIDERS EN EL CENTRO DE LIMA,2025-10-03,20:00,concerts,"Peru, Miraflores, Lima, Perú, San Isidro","tion"",""name"":""Joinnus"",""url"":""https://www.joinnus.com""}},""performer"":{""@type"":""PerformingGroup"",""name"":null},""organizer"":{""@type"":""Organization"",""name"":null}}","Por fin, Después de muchos meses @losoutsaiders vuelve desde México a Perú para presentar este viernes 3 de octubre un show único en el centro de Lima presentando canciones de su nuevo disco y todos los clásicos que ya conoces!",,https://s3-us-west-2.amazonaws.com/joinnus.com/user/304768/act68910d1594a42.jpg,https://www.joinnus.com/events/concerts/lima-los-outsaiders-en-el-centro-de-lima-70923,https://www.joinnus.com/events/concerts/lima-los-outsaiders-en-el-centro-de-lima-70923,available,LOS OUTSAIDERS EN EL CENTRO DE LIMA,2025-09-20T01:38:09.421500,True
71204,III CONCURSO DE BANDAS ESCOLARES 2025,2025-10-17,21:30,concerts,"Peru, Miraflores, Lima, Perú, San Isidro","tion"",""name"":""Joinnus"",""url"":""https://www.joinnus.com""}},""performer"":{""@type"":""PerformingGroup"",""name"":null},""organizer"":{""@type"":""Organization"",""name"":""CENTRO EDUCATIVO PARTICULAR SAN AGUSTIN""}}","El III concurso de bandas escolares San Agustín de Lima, es un evento a nivel escolar donde se reúnen las mejores agrupaciones musicales, presentando lo mejor de su repertorio en uno de los mejores auditorios del Lima. Este evento se realizará el viernes 17 de octubre en el auditorio del colegio San Agustín de Lima. Inicia a las 4:30 p.m. Ven y acompáñanos a ser parte de esta gran fiesta de música de bandas de concierto escolar.",,https://s3-us-west-2.amazonaws.com/joinnus.com/user/3990907/act689f510fe7129.jpg,https://www.joinnus.com/events/concerts/lima-iii-concurso-de-bandas-escolares-2025-71204,https://www.joinnus.com/events/concerts/lima-iii-concurso-de-bandas-escolares-2025-71204,available,III CONCURSO DE BANDAS ESCOLARES 2025,2025-09-20T01:38:14.615465,True
71335,OBRA CAPERUCITA ROJA,2025-09-27,16:00,theater,"Peru, Miraflores, Lima, Perú, San Isidro","tion"",""name"":""Joinnus"",""url"":""https://www.joinnus.com""}},""performer"":{""@type"":""PerformingGroup"",""name"":null},""organizer"":{""@type"":""Organization"",""name"":""Vicky Paz""}}","Una simpatica niña llamada Caperucita va a llevar el almuerzo a su abuelita ,su Mama le advierte que en el camino no hable ni se distraiga con extraños y que tenga cuidado con los lobos Ya en el bosque es divisada por el Lobo que conversa con ella y le averigua la direccion de la abuelita la direccion de la casa de la abuelita y asi el lobo llega primero y la encierra en ela cocina y este se disfraza de abuelita esperando a Caperucita pero este es un Lobo ecologico muy gracioso una linda comedia con lindas canciones ,y mucha participacion de los niños",,https://s3-us-west-2.amazonaws.com/joinnus.com/user/4264350/act68a88b7b1e406.jpg,https://www.joinnus.com/events/theater/lima-obra-caperucita-roja-71335,https://www.joinnus.com/events/theater/lima-obra-caperucita-roja-71335,available,OBRA CAPERUCITA ROJA,2025-09-20T01:38:17.565483,True
70311,Nito Mestre a 50 años del Adiós - Concierto Sinfónico ¡Adquiere tus entradas ya en Joinnus - Nito Mestre a 50 años del Adiós - Concierto Sinfónico ¡Adquiere tus entradas ya en Joinnus,,,nito-mestre,"Lima, Perú",,"El reconocido Nito Mestre a 50 años del Adiós - Concierto Sinfónico llega para una noche única , celebrando su trayectoria.",,https://cdn.joinnus.com/user/5060753/NqYokCODgqieDnB.webp,https://prime.joinnus.com/landing/nito-mestre,https://prime.joinnus.com/landing/nito-mestre,unknown,Nito Mestre a 50 años del adiós - Concierto Sinfónico,2025-09-20T01:38:23.041143,True
71211,"BOF, UNA CANINA AMISTAD",2025-09-20,16:00,theater,"Peru, Miraflores, Lima, Perú, San Isidro","tion"",""name"":""Joinnus"",""url"":""https://www.joinnus.com""}},""performer"":{""@type"":""PerformingGroup"",""name"":null},""organizer"":{""@type"":""Organization"",""name"":""ASOCIACION CULTURAL ARTES UNIDAS ACAU""}}","Rocco es un perro adulto, que vive feliz y tranquilo dentro de una familia que lo quiere mucho... hasta que llega Poncho. Poncho es un cachorro que vendrá a alborotar la vida y la paz de Rocco. Pero también llegará para convertirse en su amigo, en su mejor amigo. Y así pasarán los años, y estos dos perros se darán cuenta de que una verdadera amistad canina es más grande que el tiempo y los problemas.",,https://cdn.joinnus.com/user/5060753/OmUXzyL9KKMT1qO.webp,https://www.joinnus.com/events/theater/lima-bof-una-canina-amistad-71211,https://www.joinnus.com/events/theater/lima-bof-una-canina-amistad-71211,available,"BOF, UNA CANINA AMISTAD",2025-09-20T01:38:25.612054,True
70243,PERU FINTECH FORUM 2025,2025-10-22,14:00,seminarios-conferencias,"Peru, Miraflores, Lima, Perú, San Isidro","tion"",""name"":""Joinnus"",""url"":""https://www.joinnus.com""}},""performer"":{""@type"":""PerformingGroup"",""name"":null},""organizer"":{""@type"":""Organization"",""name"":""ASOCIACION FINTECH DEL PERU""}}","Únete al Perú Fintech Fórum 2025, el evento que congrega a los sectores público y privado para impulsar la innovación tecnológica financiera en Perú. Líderes regionales y globales compartirán, conocimientos y crearán oportunidades únicas para aprender y hacer negocios. ¡Regístrate ahora y sé parte del cambio!",,https://cdn.joinnus.com/user/5274018/f46TZZslX0GBAoc.webp,https://www.joinnus.com/events/seminarios-conferencias/lima-peru-fintech-forum-2025-70243,https://www.joinnus.com/events/seminarios-conferencias/lima-peru-fintech-forum-2025-70243,available,PERU FINTECH FORUM 2025,2025-09-20T01:38:28.547105,True
