title,text,rating,date_original,year,month,visit_category,language,tokens_count,keywords,id,sentiment_overall,sentiment_score,type,review.review_id,review.title,review.text,review.rating,review.date_original,review.year,review.month,review.visit_category,review.language,review.sentiment.overall,review.sentiment.score,review.tokens_count,review.keywords,data,dtitle,name,source_id,review_id,business_unit,trip_type,author.name,author.country,location.name,location.city,location.country,tour_id,reviews,isFake,fakeReason,data.title,data.text,data.rating,data.date_original,data.year,data.month,data.visit_category,data.language,data.sentiment.overall,data.sentiment.score,data.tokens_count,data.keywords,detailed,año,mes,titulo,texto,calificación,fecha_original,categoría_visita,idioma,conteo_tokens,palabras_clave,sentimiento.general,sentimiento.puntuación,detailed_analysis.step_1_review_id,detailed_analysis.step_2_title,detailed_analysis.step_3_text,detailed_analysis.step_4_rating,detailed_analysis.step_5_date,detailed_analysis.step_6_language,detailed_analysis.step_7_sentiment,detailed_analysis.step_8_tokens_count,detailed_analysis.step_9_keywords,final_output.title,final_output.text,final_output.rating,final_output.date_original,final_output.year,final_output.month,final_output.visit_category,final_output.language,final_output.sentiment.overall,final_output.sentiment.score,final_output.tokens_count,final_output.keywords,a,b,c,d_original,e,f,g,h,l,m,i.j,i.k,tags,reviewer.name,reviewer.country,reviewer.total_reviews,property.property_id,property.property_name,property.brand,property.address,property.stars,property.property_type,stay.check_in,stay.nights_stayed,stay.room_type,stay.num_guests,stay.num_rooms,stay.purpose,stay.travelers,ratings.cleanliness,ratings.comfort,ratings.location,ratings.facilities,ratings.staff,ratings.value_for_money,ratings.wifi,ratings.avg_rating,ratings.max_rating,trip_info.source,trip_info.trip_type,trip_info.device,trip_info.helpful_votes,a2,reviewId,author,authorUrl,authorImage,review,ratingDate,numHelpful,labels,pics,reviewLink,pubdate,is_verified,source,hotel_name,city,country,gfg,gpt,prompt_tokens,completion_tokens,total_tokens,stays,trip_date,trip_composition,stay_duration,languages,version,photos,helpful_count,responses,product_info,reviewer.user_image,reviewer.username,reviewer.url,reviewer.age_group,reviewer.language,reviewer.is_verified,reviewer.contributions,reviewer.location,reviewer.first_review,reviewer.last_review,reviewed.id,reviewed.title,reviewed.description,reviewed.url,reviewed.photo_count,reviewed.location,dates.review,dates.property,dates.collected,duplicated,similarity_score,original_review_id,reviewer_similarity_score,metadata.reviewer_name,metadata.reviewer_location,metadata.reviewer_contribution_count,metadata.reviewer_helpful_count,metadata.reviewer_avatar,stars,date,required,properties.title.type,properties.text.type,properties.rating.type,properties.date_original.type,properties.year.type,properties.month.type,properties.visit_category.enum,properties.language.type,properties.sentiment.type,properties.sentiment.properties.overall.enum,properties.sentiment.properties.score.type,properties.sentiment.required,properties.tokens_count.type,properties.keywords.type,properties.keywords.items.type,a5d5a,gpt4o,total_reviews,detailed_analysis,dtext,drating,ddate_original,dyear,dmonth,dvisit_category,dlanguage,dtokens_count,dkeywords,dsentiment.doverall,dsentiment.dscore,d1e1a2c,t,r,d_o,y,v_c,t_c,k,s.o,s.sc,reviewer,reviewer_city,reviewer_country,dato_original,d11a2b3c,d,dual,message,properties.visit_category.type,properties.sentiment.properties.overall.type,properties.sentiment.properties.score.minimum,properties.sentiment.properties.score.maximum,properties.keywords.minItems,properties.keywords.maxItems,d7e4b1a,a123,titl3,categoria_visita,sentimiento.puntaje,groomer_id,groomer_name,groomer_image_thumb
Fantastic bike tour through Lima,"I was quite nervous booking this tour as I don’t ride a bike regularly, but I needn’t have worried as I was well looked after. This tour is a great way to explore Lima through its network of bike lanes, and you cover many of the main sites and sounds across three neighbourhoods. I did the tour on a Sunday so there was not too much traffic and the path was mostly flat. Big thank you my guide Tito for your hospitality and wonderful welcome to Lima!",5.0,Aug 2025 • Solo,2025.0,August,Solo,en,89.0,"['bike', 'tour', 'lima', 'tito', 'guide', 'explore', 'lanes', 'neighbourhoods', 'traffic', 'hospitality']",1,positive,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great way to see Lima!,I had a great time exploring a few of Lima's neighborhoods with my guide Tito. He was very friendly and informative and adapted as needed to my cycling skills (or lack thereof!). I highly recommend doing this tour!,5.0,Aug 2025 • Solo,2025.0,August,Solo,en,50.0,"['lima', 'tito', 'guide', 'bike', 'tour', 'friendly', 'informative', 'cycling', 'neighborhoods', 'recommend']",2,positive,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wonderful way to see Lima,Highly recommend the bike tour. It’s a great way to experience the city. My guide was very knowledgeable and great to talk too. I would recommend this tour for anyone young or old or fitness level the pace was nice and relaxed.,5.0,Jun 2025 • Solo,2025.0,June,Solo,en,54.0,"['bike', 'tour', 'lima', 'guide', 'city', 'knowledgeable', 'relaxed', 'pace', 'recommend', 'experience']",3,positive,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beautiful bike tour along the Lima coast,"Highly recommended tourSuper choice of route: beautiful views along the coast and exploring the colorful and artistic district of BarancoExcellent guide: great explanationsTito our guide gave us with his extensive knowledge of the geology, faces, architecture and culture of the cityI'm impressed.The speed of the tour was well adapted to us and we were able to make sufficient breaks (for photo stops, closer visit of Baranco and for resting or explanations)The bikes were in top condition we felt safe throughout. Tito always drove ahead and got us through traffic safely and well.",5.0,Apr 2025 • Friends,2025.0,April,Friends,en,118.0,"['bike', 'tour', 'lima', 'baranco', 'tito', 'guide', 'coast', 'safe', 'route', 'architecture']",4,positive,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Such a fun day!,We had the best time on bicycle tour. The guide was so knowledgeable and kind. We highly recommend this bicycle ride! You won’t be disappointed.,5.0,May 2024 • Family,2024.0,May,Family,en,38.0,"['bicycle', 'tour', 'guide', 'knowledgeable', 'kind', 'recommend', 'ride', 'fun', 'time']",5,positive,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not a private cycling experience - misleading.,"Sadly this was very disappointing, as much as I love to support local businesses. We booked and paid for a Private Coast Cycling Experience to start at 9am, instead we got 6 people on our tour leaving around 10am (no apology, no explanation, no refund).We do private cycling tours all over the world: that way the guides can customise the ride according to our fitness and enjoyment level (always been successful). Today was not enjoyable and it was clear the guide just wanted to get this tour over and done with. Feel a bit ripped off, plus the fact that I felt embarrassed lagging behind (reason a nearly 60 year old lady booked a private tour and not to race with lovely 30-year olds - felt guilty keeping them up). If you want cheap group tours then yes it’s for you (nothing wrong with it, I was there too once). However if you want a private cycling tour look elsewhere.",2.0,"Written November 2, 2022",2022.0,November,Unknown,en,138.0,"['private', 'cycling', 'tour', 'guide', 'disappointing', 'booked', 'group', 'embarrassed', 'fitness', 'ridic off']",6,negative,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bike rid in Lima,A great trip and fantastic way to see a lot of Lima. Tito and Rudolfo were great guides. Had a lot of fun and would recommend thoroughly. Not strenuous at all. Only concern was the short ride through the unlit two lane tunnel without lights on the bike. Scary stuff with vehicles thundering past. Easily solved by outfitting low cost high intensity lights on the bike,4.0,Nov 2019 • Business,2019.0,November,Business,en,77.0,"['lima', 'bike', 'tito', 'rudolfo', 'guides', 'fun', 'tunnel', 'lights', 'vehicles', 'recommend']",7,positive,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great bile tour of Lima,"A fun way to see some of Lima that I likely wouldn’t have otherwise. Tito was a great guide and kept us safe. One piece of advice - wear sunscreen, even if it’s overcast!",5.0,"Written November 5, 2019",2019.0,November,Unknown,en,48.0,"['lima', 'bile', 'tour', 'tito', 'guide', 'safe', 'sunscreen', 'fun', 'advice']",8,positive,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great morning,Nice way to see the local coastal district south of Miraflores. Starting on solar hill cruise back to Miraflores with a couple of stops at local city Central. square's.,5.0,"Written October 2, 2019",2019.0,October,Unknown,en,38.0,"['miraflores', 'coastal', 'district', 'solar', 'hill', 'cruise', 'stops', 'central', 'squares']",9,positive,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great way to spend 1/2 day,"Thanks for a great morning!! Guide Raoul (Rod), and our driver, were friendly and made sure we were looked after. Most of the bike trip is down hill - some up hill but worth it. Guide had lots of information, and passion, for his home town. Great way to start our Peruvian adventure. Would definitely recommend if confident on a bike and enjoy an adventure.",5.0,Jul 2019 • Family,2019.0,July,Family,en,80.0,"['great', 'guide', 'bike', 'trip', 'driver', 'friendly', 'peruvian', 'adventure', 'start', 'recommend']",10,positive,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
